PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,4,1,Yes,LUKE COMBS,Where The Wild Things Are,River House/Columbia Nash,18,32572,25672,6900,8920,7034,1886,2794,1184,1688,1306,1948,34.033,27.82,6.213,2,4,157,0,157,56.8,44.8,12,1,6126,3,4178,-,-,1,-,-,-,-,-,-,-,-,-,25
2,2,2,Yes,WARREN ZEIDERS,Pretty Little Poison,Warner/WEA,30,30300,28444,1856,8268,7829,439,2169,997,1814,1420,1868,36.44,34.085,2.355,1,2,157,0,157,52.7,49.9,2.8,2,6099,2,4231,-,-,2,-,253,-,-,-,-,-,-,-,28
3,3,3,Yes,CODY JOHNSON,The Painter,CoJo/Warner/WMN,27,27788,26807,981,7454,7260,194,2077,888,1572,1243,1674,33.084,31.966,1.118,3,3,157,0,157,47.5,46.2,1.2,3,5377,4,3703,-,-,3,-,261,-,-,-,-,-,-,-,34
4,6,4,Yes,KANE BROWN,I Can Feel It,RCA Nashville,22,24903,23161,1742,6700,6282,418,1989,736,1416,1065,1494,29.341,25.139,4.202,4,6,157,0,157,42.7,40,2.7,6,4711,7,3217,-,-,4,-,254,-,-,-,-,-,-,-,40
5,5,5,Yes,HARDY,TRUCK BED,Big Loud Rock/Big Loud,38,24651,23581,1070,6711,6482,229,1963,747,1399,1110,1492,27.463,26.296,1.167,5,5,157,0,157,42.7,41.3,1.5,5,4748,6,3256,-,-,5,-,320,-,-,-,-,-,-,-,39
6,7,6,Yes,THOMAS RHETT,Mamaw's House f/Morgan Wallen,Valory/Big Loud,20,23588,21138,2450,6569,5952,617,1800,813,1418,1128,1410,26.346,24.093,2.253,6,7,155,0,155,42.4,38.4,4,4,4769,5,3359,-,-,6,-,231,-,-,-,-,-,-,-,42
7,9,7,Yes,PARKER MCCOLLUM,Burn It Down,MCA Nashville,33,18919,18430,489,5064,4932,132,1531,505,1061,814,1153,21.375,20.792,0.583,7,8,157,0,157,32.3,31.4,0.8,8,3533,12,2380,-,-,7,-,812,-,-,-,-,-,-,-,55
8,8,8,Yes,CHAYCE BECKHAM,23,Wheelhouse,46,18818,18691,127,5156,5106,50,1643,562,1026,824,1101,20.428,19.701,0.727,9,9,157,0,157,32.8,32.5,0.3,9,3513,11,2412,-,-,8,-,385,-,-,-,-,-,-,-,54
9,12,9,Yes,MORGAN WALLEN,Man Made A Bar f/Eric Church,Big Loud/EMI/Mercury,13,18269,16776,1493,4852,4423,429,1283,568,973,784,1244,20.797,18.726,2.071,8,10,155,0,155,31.3,28.5,2.8,7,3569,13,2325,-,-,9,-,-,-,-,-,-,-,-,-,62
